на скорый рука, {'Literature': 1}
на удивление, {'Literature': 17}
на чашка чай, {'Literature': 1}
набивать себя цена, {'Literature': 1}
набивать цена, {'Literature': 1}
настораживать ухо, {'Literature': 1}
надрывать душа, {'Literature': 1}
дуть в ухо, {'Literature': 1}
не жилец на белый свет, {'Literature': 1}
не идти в голова, {'Literature': 1}
не ко двор, {'News': 1}
не лыко шить, {'Lit/News': 1}
не мочь мочь быть и речь, {'Literature': 5}
не отводить глаз, {'Literature': 3}
не первый молодость, {'Literature': 1}
не по вкус, {'Literature': 1}
не показывать вид, {'Literature': 4}
не помнить себя, {'Literature': 5}
не приводить господи, {'Literature': 1}
не разгибать спина, {'Literature': 1}
не сводить глаз, {'Literature': 9}
не свой голос, {'Literature': 1}
не смыкать глаз, {'Literature': 5}
не спускать глаз, {'Literature': 3}
не тут-то быть, {'Literature': 14}
не у дело, {'Literature': 3}
не хватать дух, {'Literature': 1}
не чувствовать под себя нога, {'Literature': 1}
невесть как, {'Literature': 4}
негде нога ступать, {'Literature': 1}
несолоно хлебать, {'Literature': 1}
нет и в помин, {'Literature': 2}
нечего терять, {'News': 2}
ни много ни мало, {'Literature': 3}
ни грош, {'Literature': 1}
ни давать ни взять, {'Literature': 2}
ни живой ни мертвый, {'Literature': 1}
ни крошка, {'Literature': 2}
ни на грош, {'Literature': 2}
ни один живой душа, {'Literature': 4}
ни ответ ни привет, {'Literature': 1}
ни под какой вид, {'News': 1}
ни с место, {'Literature': 2}
нога не быть, {'Literature': 1}
нож в сердце, {'Literature': 2}
носить на рука, {'Literature': 4}
обвести вокруг палец, {'News': 1}
обливаться слеза, {'Lit/News': 1}
огород городить, {'Literature': 1}
окунаться с голова, {'Literature': 1}
осиный гнездо, {'Literature': 2}
оставлять желать хороший, {'Lit/News': 2}
острый язык, {'Literature': 3}
от а до я, {'News': 1}
с большой ум, {'Literature': 1}
от заря до заря, {'Literature': 2}
от корка до корка, {'Literature': 1}
от нечего делать, {'Literature': 2}
от случай к случай, {'Literature': 1}
отбиваться от рука, {'Literature': 1}
отводить глаз, {'Literature': 16}
отводить душа, {'Literature': 1}
отвечать голова, {'Literature': 1}
доживать свой день, {'Literature': 4}
открывать америка, {'Literature': 2}
откуда ни взяться, {'Literature': 6}
откуда что взяться, {'Literature': 1}
отлегать от сердце, {'Literature': 2}
отчаянный голова, {'Literature': 1}
очертя голова, {'Literature': 1}
падать на колено, {'Literature': 1}
первый ласточка, {'News': 1}
первый скрипка, {'Literature': 4}
первый рука, {'News': 2}
первый сорт, {'Literature': 2}
первый долг, {'Literature': 1}
перебегать дорога, {'News': 3}
перебирать в ум, {'Literature': 1}
перевертываться вверх дно, {'Literature': 1}
переводить дыхание, {'Literature': 14}
перемывать косточка, {'Literature': 2}
песня спеть, {'Lit/News': 1}
пир на весь мир, {'Literature': 1}
плечо в плечо, {'Literature': 6}
плыть в рука, {'Literature': 1}
плыть по течение, {'Literature': 4}
плыть против течение, {'Literature': 1}
по большой счет, {'Literature': 6}
по милость, {'Literature': 1}
по молодость год, {'Literature': 1}
по плечо, {'Literature': 35}
по правый рука, {'Literature': 1}
по прямой, {'Literature': 8}
по сей день, {'Literature': 5}
под диктовка, {'Lit/News': 2}
под занавес, {'News': 2}
под лад, {'Literature': 3}
под марка, {'News': 2}
под муха, {'Literature': 1}
под мышка, {'Literature': 6}
под сапог, {'Literature': 2}
под спуд, {'Literature': 1}
под турах, {'News': 3}
подавать голос, {'Literature': 16}
подготавливать почва, {'Literature': 3}
подымать голова, {'Literature': 85}
подымать на нога, {'Literature': 2}
подниматься с постель, {'Literature': 2}
подходить к конец, {'Literature': 15}
подставлять нога, {'Literature': 1}
подступать к горло, {'Literature': 4}
указывать на дверь, {'Literature': 2}
показывать класс, {'News': 1}
показывать носить, {'Literature': 1}
полож рука на сердце, {'News': 1}
попадать в история, {'News': 1}
попадать в самый точка, {'Literature': 1}
попадать впросак, {'Literature': 3}
попадать на зубок, {'Literature': 1}
попадаться на удочка, {'Literature': 1}
ставить в ряд, {'Literature': 1}
ставить в тупик, {'Literature': 2}
поставлять на кон, {'News': 3}
потирать рука, {'Literature': 6}
прежде время, {'Literature': 1}
приклонять голова, {'Literature': 25}
принимать на вера, {'Literature': 2}
пробежать глаз, {'Lit/News': 1}
пропускать мимо ухо, {'Literature': 1}
протирать глазок, {'Literature': 3}
прятать глаз, {'Literature': 2}
пустой звук, {'Literature': 1}
пыль столб, {'Literature': 1}
пятый десятый, {'Literature': 1}
радовать глаз, {'Literature': 10}
раз за раз, {'Literature': 7}
разводить рука, {'Literature': 26}
развязывать язык, {'Literature': 1}
разгонять кровь, {'Literature': 1}
разевать рот, {'Literature': 4}
разжимать губа, {'Literature': 1}
раскладывать по полочка, {'Literature': 1}
разный разность, {'Literature': 1}
распушать хвост, {'Literature': 1}
родственный душа, {'Literature': 3}
рука набивать, {'Literature': 1}
рука короткий, {'Literature': 1}
рука опускаться, {'Literature': 3}
рыть яма, {'Literature': 3}
рыться в память, {'Literature': 2}
с вызов, {'Literature': 5}
с голова до самый нога, {'Literature': 8}
с горе пополам, {'Lit/News': 1}
с грех пополам, {'Literature': 1}
с иголочка, {'Literature': 5}
с лишек, {'Literature': 2}
с легкий пар, {'News': 1}
с легкий рука, {'Literature': 3}
с лихва, {'Literature': 3}
с налет, {'Lit/News': 1}
с оглядка, {'News': 4}
с огонек, {'Literature': 1}
от пеленка, {'Literature': 4}
с первый слово, {'Literature': 2}
с плечо долой, {'Literature': 1}
с позволение сказать, {'Lit/News': 1}
с толк, {'Literature': 8}
с чистый сердце, {'Literature': 2}
с чужой слово, {'Literature': 1}
садиться на мель, {'News': 5}
сбивать с нога, {'News': 3}
сбрасывать с плечо, {'Literature': 2}
сваливаться на голова, {'Literature': 1}
сверкать глаз, {'Literature': 5}
свертывать шея, {'Literature': 2}
сверху донизу, {'Lit/News': 1}
сводить конец с конец, {'Literature': 1}
сводиться на нет, {'News': 2}
свет белый не видеть, {'News': 1}
свой черед, {'Literature': 8}
сгорать от стыд, {'Literature': 1}
сдавать позиция, {'Literature': 2}
сдвигаться с мертвый точка, {'Literature': 1}
сдвигать воз с место, {'Lit/News': 1}
сердце екнуть, {'Literature': 2}
сиамский близнец, {'News': 1}
сидень сидеть, {'Literature': 3}
синий мундир, {'Literature': 1}
сквозь слеза, {'Literature': 5}
слагать рука, {'Literature': 8}
скрепить сердце, {'Lit/News': 1}
скрипеть зуб, {'Literature': 5}
слабый место, {'News': 1}
сломя голова, {'Literature': 2}
слюнки течь, {'Literature': 1}
смотреть свысока, {'Literature': 1}
со весь нога, {'Literature': 20}
со скрип, {'Literature': 11}
собираться с дух, {'Literature': 3}
сходить с рука, {'Literature': 2}
всплескивать рука, {'Literature': 50}
средний рука, {'Literature': 1}
старый и маленький, {'Literature': 1}
старый и младой, {'Literature': 2}
стискивать зуб, {'Literature': 2}
стон стоять, {'Literature': 1}
стоять на сторона, {'News': 1}
стрелять глаз, {'Literature': 1}
хватать за рукав, {'Literature': 2}
хвататься за волос, {'Literature': 9}
считать звезда, {'Literature': 1}
паче то, {'Literature': 8}
тихо вода низкий трава, {'Literature': 2}
ткнуть нос, {'Literature': 2}
